Título:;ACTIVIDADES FORMATIVAS CEP;;;;;;
Autor:;Aplicación Séneca, CONSEJERÍA DE EDUCACIÓN Y DEPORTE, Junta de Andalucía;;;;;;
Fecha de creación:;26/05/2020 - 08:53;;;;;;
;;;;;;;
Centro;Código;Título;Modalidad;Estado;Fecha inicio;Fecha fin;Dirigido a
29200026-CEP Marbella - Coín;202923GES474;INTEGRACIÓN DE LAS COMPETENCIAS CLAVE EN EL ÁMBITO EDUCATIVO NIVEL I. CEIP SAN LUIS DE SABINILLAS;Curso con Seguimiento;Actividad en desarrollo;30/10/2019;25/03/2020;Educación primaria
29200026-CEP Marbella - Coín;202923GES475;INTEGRACIÓN DE LAS COMPETENCIAS CLAVE EN EL ÁMBITO EDUCATIVO NIVEL I. CEIP MAICANDIL;Curso con Seguimiento;Terminada;30/09/2019;16/12/2019;Educación primaria
29200026-CEP Marbella - Coín;202923GES476;DISCIPLINA POSITIVA Y NEUROCIENCIA PARA DOCENTES. NIVEL I (ZONA SAN PEDRO);Curso con Seguimiento;Terminada;27/01/2020;02/03/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES477;PRIMEROS AUXILIOS EN URGENCIAS MÁS FRECUENTES (ZONA SAN PEDRO);Curso con Seguimiento;Terminada;04/02/2020;03/03/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES478;INTEGRACIÓN DE LAS COMPETENCIAS CLAVE EN EL ÁMBITO EDUCATIVO NIVEL I. CEIP MIGUEL HERNANDEZ;Curso con Seguimiento;Terminada;21/11/2019;21/04/2020;Educación primaria
29200026-CEP Marbella - Coín;202923GES479;CUADERNO DEL PROFESORADO CON SÉNECA E ISÉNECA (ZONA NUEVA ANDALUCÍA);Curso con Seguimiento;Terminada;13/01/2020;17/03/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES552;EXPRESIÓN , COMPRENSIÓN ORAL Y COMPRENSIÓN LECTORA:¿CÓMO SUENA ESA LETRA?;Curso con Seguimiento;Terminada;13/11/2019;10/12/2019;Internivelar
29200026-CEP Marbella - Coín;202923GES553;FORMACIÓN PARA LA DIRECCIÓN NOVEL: MENTORIZACIÓN DE LAS DIRECCIONES NOVELES;Curso con Seguimiento;Terminada;03/12/2019;20/05/2020;Equipos directivos
29200026-CEP Marbella - Coín;202923GES602;4,3,2,1...DEVELOP STUDENT`S BASIC ENGLISH SKILLS WITH THE HELP OF MINDFULNESS;Curso con Seguimiento;Terminada;05/11/2019;07/11/2019;Internivelar
29200026-CEP Marbella - Coín;202923GES603;COMPETENCIAS CLAVE EN PRIMARIA;Curso con Seguimiento;Suspendida;23/10/2019;26/03/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES609;EDUCACIÓN BIOCÉNTRICA;Curso con Seguimiento;Borrador;06/05/2020;20/05/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES751;LA RELACIÓN DEL TDA-H CON LAS DIFICULTADES EN LAS HABILIDADES SOCIALES Y LA REPERCUSIÓN EN EL APRENDIZAJE ESCOLAR;Curso con Seguimiento;Terminada;09/09/2019;11/09/2019;Internivelar
29200026-CEP Marbella - Coín;202923GES752;GESTIÓN DEL AULA CON EL ENFOQUE EN NEUROEDUCACIÓN Y DISCIPLINA POSITIVA NIVEL II. (ZONA FUENGIROLA);Curso con Seguimiento;Terminada;23/09/2019;14/10/2019;Internivelar
29200026-CEP Marbella - Coín;202923GES753;PROGRAMA DE TRANSFORMA-ACCIÓN: AMBIENTES EDUCATIVOS Y PEDAGOGÍAS NO DIRECTIVAS. REGGIO EMILIA: VER,HACER,COMPRENDER,VERBALIZAR;Curso con Seguimiento;Terminada;12/11/2019;30/05/2020;Educación infantil
29200026-CEP Marbella - Coín;202923GES756;ENRIQUECE TUS PROGRAMACIONES CON RUTINAS DE PENSAMIENTO;Curso con Seguimiento;Suspendida;04/02/2020;31/03/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES758;COMUNICATE CON EL ALUMNADO SORDO: LENGUA DE SIGNOS,ESTRATEGIAS Y HERRAMIENTAS BÁSICAS PARA EL AULA;Curso con Seguimiento;Terminada;28/10/2019;18/11/2019;Internivelar
29200026-CEP Marbella - Coín;202923GES801;CUADERNO DEL PROFESORADO CON SÉNECA E ISÉNECA (ZONA LAS LAGUNAS);Curso con Seguimiento;Terminada;07/01/2020;21/02/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES802;EL TEATRO COMO METODOLOGÍA COMPETENCIAL;Curso con Seguimiento;Terminada;13/11/2019;04/12/2019;Internivelar
29200026-CEP Marbella - Coín;202923GES804;PENSAMIENTO COMPUTACIONAL Y ROBÓTICA PARA TOD@S;Curso con Seguimiento;Suspendida;13/01/2020;23/03/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES805;EL DEBATE COMO HERRAMIENTA CURRICULAR;Curso con Seguimiento;Terminada;12/11/2019;21/02/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES806;EXPRESIÓN , COMPRENSIÓN ORAL Y COMPRENSIÓN LECTORA:¿CÓMO SUENA ESA LETRA?;Curso con Seguimiento;Terminada;09/01/2020;12/02/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES807;CUADERNO DEL PROFESORADO CON SÉNECA E ISÉNECA (ZONA MARBELLA);Curso con Seguimiento;Suspendida;14/04/2020;31/05/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES851;METODOLOGÍA MONTESSORI EN EL AULA;Curso con Seguimiento;Terminada;09/10/2019;27/11/2019;Educación primaria
29200026-CEP Marbella - Coín;202923GES852;CUADERNO DEL PROFESORADO CON SÉNECA E ISÉNECA (ZONA COÍN);Curso con Seguimiento;Terminada;30/10/2019;05/12/2019;Internivelar
29200026-CEP Marbella - Coín;202923GES853;DISCIPLINA POSITIVA Y NEUROCIENCIA PARA DOCENTES. NIVEL I (ZONA COÍN);Curso con Seguimiento;Terminada;05/11/2019;26/11/2019;Internivelar
29200026-CEP Marbella - Coín;202923GES854;CUADERNO DEL PROFESORADO CON SÉNECA E ISÉNECA (OJÉN);Curso con Seguimiento;Terminada;19/11/2019;17/12/2019;Internivelar
29200026-CEP Marbella - Coín;202923GES855;GAMIFICACIÓN Y APRENDIZAJE COOPERATIVO;Curso con Seguimiento;Actividad en desarrollo;05/03/2020;02/04/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES856;DISCIPLINA POSITIVA Y NEUROCIENCIA PARA DOCENTES. NIVEL I (ZONA COÍN);Curso con Seguimiento;Actividad en desarrollo;03/03/2020;31/05/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES857;PRIMEROS AUXILIOS EN URGENCIAS MÁS FRECUENTES EN RESIDENCIAS ESCOLARES;Curso con Seguimiento;Terminada;07/02/2020;06/03/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES858;CONSCIENCIA EMOCIONAL, AUTORREGULACIÓN Y RESILIENCIA;Curso con Seguimiento;Actividad en desarrollo;07/05/2020;04/06/2020;Internivelar
